epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2048.38,1.84211,1.49058,1.14874,0.30694,0.19474,0.21391,0.08545,2.27545,1.54046,1.38522,0.000810891,0.000810891,0.000810891
85,2072.89,1.81206,1.37264,1.13813,0.28728,0.21579,0.21296,0.08746,2.23055,1.55111,1.37282,0.000800577,0.000800577,0.000800577
86,2096.25,1.80167,1.43083,1.12732,0.29956,0.21053,0.21744,0.0894,2.19261,1.56595,1.34788,0.000790262,0.000790262,0.000790262
87,2122.97,1.71605,1.41284,1.11623,0.3041,0.25263,0.24407,0.09298,2.25254,1.49296,1.35208,0.000779948,0.000779948,0.000779948
88,2147.2,1.72654,1.37016,1.14554,0.28204,0.22632,0.2174,0.08846,2.26328,1.56018,1.39085,0.000769633,0.000769633,0.000769633
89,2175.06,1.73721,1.39987,1.10984,0.34667,0.1785,0.20903,0.08437,2.25271,1.62709,1.36522,0.000759318,0.000759318,0.000759318
90,2213.02,1.7663,1.38531,1.12569,0.305,0.18934,0.19008,0.0783,2.36885,1.7022,1.40303,0.000749004,0.000749004,0.000749004
91,2237.03,1.80057,1.45627,1.13096,0.29868,0.18421,0.19628,0.0789,2.38971,1.73614,1.41201,0.000738689,0.000738689,0.000738689
92,2260.65,1.77428,1.35445,1.10609,0.29593,0.2,0.20818,0.08483,2.30211,1.65424,1.38994,0.000728375,0.000728375,0.000728375
93,2284.3,1.75538,1.31596,1.1013,0.28999,0.20526,0.20631,0.07664,2.34674,1.66762,1.3859,0.00071806,0.00071806,0.00071806
94,2307.75,1.80346,1.42944,1.13307,0.32696,0.20526,0.20899,0.07033,2.43465,1.62656,1.38342,0.000707746,0.000707746,0.000707746
95,2333.64,1.67433,1.30383,1.0977,0.31128,0.22572,0.22797,0.08353,2.29923,1.6042,1.35876,0.000697431,0.000697431,0.000697431
96,2357.19,1.79269,1.45481,1.14918,0.29967,0.20526,0.21263,0.07458,2.34924,1.63076,1.38689,0.000687117,0.000687117,0.000687117
