epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,393.766,1.20289,1.51093,1.42507,0.35796,0.4,0.31386,0.1793,1.78218,2.88543,2.06328,0.000636762,0.000636762,0.000636762
58,400.681,1.08421,1.26449,1.22217,0.38574,0.39916,0.30193,0.14908,1.88365,3.05101,2.06281,0.000622615,0.000622615,0.000622615
59,407.186,1.09736,1.36524,1.26317,0.38574,0.39916,0.30193,0.14908,1.88365,3.05101,2.06281,0.000608468,0.000608468,0.000608468
60,413.138,1.09439,1.40487,1.24782,0.38574,0.39916,0.30193,0.14908,1.88365,3.05101,2.06281,0.000594321,0.000594321,0.000594321
61,418.527,1.16085,1.23777,1.24248,0.38574,0.39916,0.30193,0.14908,1.88365,3.05101,2.06281,0.000580174,0.000580174,0.000580174
62,424.302,0.98129,1.23886,1.25262,0.873,0.3,0.45777,0.18986,1.93091,2.83919,2.09007,0.000566027,0.000566027,0.000566027
63,430.149,1.06659,1.30814,1.30587,0.873,0.3,0.45777,0.18986,1.93091,2.83919,2.09007,0.00055188,0.00055188,0.00055188
64,438.198,0.96853,1.1193,1.11979,0.873,0.3,0.45777,0.18986,1.93091,2.83919,2.09007,0.000537733,0.000537733,0.000537733
65,444.443,1.02553,1.10231,1.18924,0.873,0.3,0.45777,0.18986,1.93091,2.83919,2.09007,0.000523586,0.000523586,0.000523586
66,450.467,1.0771,1.16028,1.22951,0.65501,0.39401,0.50305,0.23335,1.79424,2.41408,2.02427,0.000509438,0.000509438,0.000509438
67,455.812,0.87401,1.11791,1.1237,0.65501,0.39401,0.50305,0.23335,1.79424,2.41408,2.02427,0.000495291,0.000495291,0.000495291
68,461.409,0.98987,1.38268,1.23527,0.65501,0.39401,0.50305,0.23335,1.79424,2.41408,2.02427,0.000481144,0.000481144,0.000481144
69,467.212,0.99133,1.15241,1.18184,0.65501,0.39401,0.50305,0.23335,1.79424,2.41408,2.02427,0.000466997,0.000466997,0.000466997
70,473.568,0.94303,1.19516,1.11857,0.80222,0.38263,0.53697,0.22956,1.85605,2.39874,2.07229,0.00045285,0.00045285,0.00045285
