epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,664.89,1.20514,0.68427,0.94408,0.32069,0.23684,0.22187,0.07506,2.35999,1.51441,1.46081,0.000460196,0.000460196,0.000460196
119,670.474,1.22881,0.71335,0.94514,0.33391,0.24211,0.23329,0.07736,2.39597,1.5169,1.46811,0.000449882,0.000449882,0.000449882
120,677.055,1.2425,0.67657,0.94655,0.3449,0.23158,0.22913,0.07596,2.36935,1.52126,1.4447,0.000439567,0.000439567,0.000439567
121,682.757,1.2219,0.69402,0.93785,0.34928,0.23158,0.22624,0.0785,2.35522,1.53501,1.4327,0.000429253,0.000429253,0.000429253
122,687.91,1.24118,0.69555,0.92918,0.31251,0.23684,0.20766,0.07518,2.31078,1.5604,1.42331,0.000418938,0.000418938,0.000418938
123,693.068,1.17524,0.67137,0.92088,0.30726,0.23684,0.19809,0.07299,2.30576,1.5725,1.4234,0.000408623,0.000408623,0.000408623
124,698.647,1.20852,0.68623,0.93363,0.30139,0.23158,0.19994,0.06973,2.35237,1.60251,1.45021,0.000398309,0.000398309,0.000398309
125,706.881,1.18042,0.67756,0.90147,0.29403,0.22632,0.20161,0.07233,2.36578,1.60412,1.45431,0.000387994,0.000387994,0.000387994
126,717.921,1.14028,0.65202,0.93238,0.34806,0.23684,0.21964,0.07793,2.34042,1.57818,1.43977,0.00037768,0.00037768,0.00037768
127,723.198,1.16232,0.6734,0.93697,0.35083,0.23684,0.22627,0.08246,2.30355,1.54294,1.42159,0.000367365,0.000367365,0.000367365
128,728.425,1.22519,0.7056,0.94005,0.33247,0.24211,0.22822,0.08763,2.30403,1.52689,1.42509,0.000357051,0.000357051,0.000357051
129,733.447,1.14975,0.7071,0.91617,0.34523,0.23482,0.23121,0.08494,2.34211,1.54223,1.44275,0.000346736,0.000346736,0.000346736
130,738.399,1.18399,0.66812,0.92348,0.34997,0.23684,0.22455,0.07613,2.39132,1.5616,1.45916,0.000336421,0.000336421,0.000336421
131,743.439,1.10481,0.64519,0.90916,0.34187,0.22759,0.21857,0.07374,2.36134,1.54897,1.45533,0.000326107,0.000326107,0.000326107
132,748.944,1.14268,0.65833,0.91316,0.33441,0.22632,0.21922,0.07806,2.30901,1.55133,1.45228,0.000315792,0.000315792,0.000315792
133,754.416,1.07647,0.65173,0.90975,0.33536,0.22632,0.21942,0.07836,2.30772,1.55122,1.45341,0.000305478,0.000305478,0.000305478
134,761.077,1.17519,0.6294,0.94796,0.34946,0.22632,0.22222,0.07879,2.31327,1.56625,1.45667,0.000295163,0.000295163,0.000295163
135,767.874,1.15604,0.6381,0.91717,0.3558,0.23158,0.22969,0.07969,2.32925,1.56505,1.4624,0.000284849,0.000284849,0.000284849
136,774.843,1.09892,0.63594,0.89878,0.34324,0.21898,0.22208,0.07832,2.33795,1.56493,1.46801,0.000274534,0.000274534,0.000274534
137,780.365,1.14342,0.64989,0.95242,0.35947,0.21579,0.22366,0.07906,2.32499,1.56874,1.46282,0.00026422,0.00026422,0.00026422
138,785.669,1.15482,0.72719,0.93881,0.31972,0.23337,0.2246,0.08417,2.28644,1.5861,1.44467,0.000253905,0.000253905,0.000253905
139,790.982,1.10507,0.6685,0.91097,0.35247,0.21579,0.21901,0.08065,2.28533,1.59209,1.43985,0.00024359,0.00024359,0.00024359
140,796.307,1.09716,0.65587,0.92214,0.3345,0.22341,0.21485,0.07605,2.31994,1.60113,1.44564,0.000233276,0.000233276,0.000233276
141,801.394,1.15928,0.68234,0.92722,0.32521,0.22525,0.21593,0.07761,2.33545,1.58582,1.45121,0.000222961,0.000222961,0.000222961
142,806.425,1.09502,0.65468,0.9385,0.35904,0.21579,0.22179,0.07964,2.34545,1.55567,1.46571,0.000212647,0.000212647,0.000212647
143,811.438,1.07845,0.62091,0.90943,0.30609,0.23264,0.2152,0.07931,2.31859,1.52029,1.46159,0.000202332,0.000202332,0.000202332
144,817.052,1.09079,0.63014,0.90308,0.33154,0.24211,0.22641,0.08606,2.26915,1.49481,1.44319,0.000192018,0.000192018,0.000192018
145,822.088,1.13553,0.63659,0.92308,0.33761,0.24211,0.22746,0.08732,2.25801,1.49804,1.43956,0.000181703,0.000181703,0.000181703
